## Contrast report — Glass Rollout Wave 1 — shipped pairings (About/Resources/HowToHelp/Settings/Drawer/Feedback), 2026-07-03

Composite order: `stack[0]` painted first (nearest base) → last element topmost.
Worst case = the base backdrop that yields the LOWEST ratio for the pair.

### light

| pair | surface | worst base | resulting bg | ratio | min | verdict |
|---|---|---|---|---|---|---|
| sheet title textStrong (large) (`#222`) | bulkSheet | `#000` | `#D9D9D9` | 11.24:1 | 3:1 | PASS |
| sheet subtitle/labels inkGlassMuted (`#414B5A`) | bulkSheet | `#000` | `#D9D9D9` | 6.24:1 | 4.5:1 | PASS |
| About tagline color.text (`#333`) | bulkSheet | `#000` | `#D9D9D9` | 8.93:1 | 4.5:1 | PASS |
| Feedback inline error errorFg (`#8a1f1f`) | bulkSheet | `#000` | `#D9D9D9` | 6.46:1 | 4.5:1 | PASS |
| close-X icon color.text (1.4.11) (`#333`) | bulkSheet | `#000` | `#D9D9D9` | 8.93:1 | 3:1 | PASS |
| Feedback chip label+glyph glassChipInk (`#333`) | chipOnBulkSheet | `#000` | `#F0F0F0` | 11.06:1 | 4.5:1 | PASS |
| selected chip + Send label textOnBrand (`#fff`) | ctaFill | `#1466E0` | `#1466E0` | 5.24:1 | 4.5:1 | PASS |
| appearance unselected label/icon glassChipInk (`#333`) | chipOnStage | `#CBDBF4` | `#EAF1FB` | 11.09:1 | 4.5:1 | PASS |
| appearance selected label/icon brandText (opaque pill) (`#0F53BE`) | selectedSegment | `#fff` | `#FFFFFF` | 7.00:1 | 4.5:1 | PASS |
| row title textStrong (`#222`) | row | `#CBDBF4` | `#EFF4FC` | 14.43:1 | 4.5:1 | PASS |
| row subtitle/blurb textMuted @>=500 (`#666`) | row | `#CBDBF4` | `#EFF4FC` | 5.21:1 | 4.5:1 | PASS |
| chevron/spinner icon textSubtle (1.4.11) (`#707070`) | row | `#CBDBF4` | `#EFF4FC` | 4.49:1 | 3:1 | PASS |
